ABAO JPMP,tundeolokesusi@gmail.com
Andy Adams,tundeolokesusi@gmail.com
Ayodele Olokesusi,tundeolokesusi@gmail.com
Betty Basset,tundeolokesusi@gmail.com
Charlie Carrot,tundeolokesusi@hotmail.co.uk
Dixxy Delta,tundeolokesusi@gmail.com
Echo Elder,tundeolokesusi@gmail.com
Frank Flowers,tundeolokesusi@gmail.com
Grant Golf,tundeolokesusi@gmail.com
Harry Hunter,tundeolokesusi@hotmail.co.uk
India Igloo,tundeolokesusi@gmail.com
Jack Jordan,tundeolokesusi@hotmail.co.uk
Jan Pasierb,tundeolokesusi@gmail.com
Janek PissAnt,tundeolokesusi@gmail.com
Killian Kola,tundeolokesusi@gmail.com
Tunde Olokesusi,tunde.olokesusi@gamma.co.uk
